,valor
2031-09-15,524.245778116007
2031-10-15,524.0143181149065
2031-11-15,525.1925241553834
2031-12-15,530.5736859618431
2032-01-15,538.1486145845153
2032-02-15,544.6964231541226
2032-03-15,547.7030177684414
2032-04-15,549.396685603273
2032-05-15,549.2417828195736
2032-06-15,548.6248749819702
2032-07-15,549.2181981585322
2032-08-15,551.0842524024263
2032-09-15,552.3279085715617
2032-10-15,552.1224063963055
2032-11-15,553.4013420618003
2032-12-15,559.1097615347943
2033-01-15,567.1286047847925
2033-02-15,574.0593739948407
2033-03-15,577.2573378301046
2033-04-15,579.0652391080766
2033-05-15,578.9186805502405
2033-06-15,578.2769099210176
2033-07-15,578.9020832571152
2033-08-15,580.8586325517728
2033-09-15,582.1499068619006
2033-10-15,581.9047703434125
2033-11-15,583.2184354484169
2033-12-15,589.1933142781157
