fecha,precio_interno_carga,precio_almendra_sana,incentivo_calidad
2023-02-21,2220000,,
2023-02-22,2222000,,
2023-02-23,2162000,,
2023-02-24,2130000,,
2023-02-25,2130000,,
2023-02-26,2130000,,
2023-02-27,2085000,,
2023-02-28,2125000,,
2023-03-01,2085000,,
2023-03-02,2060000,,
2023-03-03,2010000,,
2023-03-04,2010000,,
2023-03-05,2010000,,
2023-03-06,2001000,,
2023-03-07,2050000,,
2023-03-08,2001000,,
2023-03-09,1968000,,
2023-03-10,1980000,,
2023-03-11,1980000,,
2023-03-12,1980000,,
2023-03-13,2018000,,
2023-03-14,1968000,,
2023-03-15,2000000,,
2023-03-16,2050000,,
2023-03-17,2020000,,
2023-03-18,2020000,,
2023-03-19,2020000,,
2023-03-20,2042000,,
2023-03-21,2045000,,
2023-03-22,2012000,,
2023-03-23,1963000,,
2023-03-24,2000000,,
2023-03-25,2000000,,
2023-03-26,2000000,,
2023-03-27,1955000,,
2023-03-28,1925000,,
2023-03-29,1860000,,
2023-03-30,1872000,,
2023-03-31,1882000,,
2023-04-01,1882000,,
2023-04-02,1882000,,
2023-04-03,1916000,,
2023-04-04,1895000,,
2023-04-05,1937000,,
2023-04-06,1963000,,
2023-04-07,1963000,,
2023-04-08,1963000,,
2023-04-09,1963000,,
2023-04-10,1945000,,
2023-04-11,1994000,,
2023-04-12,1975000,,
2023-04-13,2002000,,
2023-04-14,1972000,,
2023-04-15,1972000,,
2023-04-16,1972000,,
2023-04-17,2040000,,
2023-04-18,2100000,,
2023-04-19,2085000,,
2023-04-20,2018000,,
2023-04-21,1990000,,
2023-04-22,1990000,,
2023-04-23,1990000,,
2023-04-24,1985000,,
2023-04-25,1955000,,
2023-04-26,1990000,,
2023-04-27,2013000,,
2023-04-28,2005000,,
2023-04-29,2005000,,
2023-04-30,2005000,,
2023-05-01,2002000,,
2023-05-02,2010000,,
2023-05-03,1960000,,
2023-05-04,1925000,,
2023-05-05,1940000,,
2023-05-06,1940000,,
2023-05-07,1940000,,
2023-05-08,1890000,,
2023-05-09,1941000,,
2023-05-10,1920000,,
2023-05-11,1913000,,
2023-05-12,1892000,,
2023-05-13,1892000,,
2023-05-14,1892000,,
2023-05-15,1932000,,
2023-05-16,1915000,,
2023-05-17,1890000,,
2023-05-18,1912000,,
2023-05-19,1950000,,
2023-05-20,1950000,,
2023-05-21,1950000,,
2023-05-22,1923000,,
2023-05-23,1870000,,
2023-05-24,1868000,,
2023-05-25,1838000,,
2023-05-26,1805000,,
2023-05-27,1805000,,
2023-05-28,1805000,,
2023-05-29,1805000,,
2023-05-30,1740000,,
2023-05-31,1760000,,
2023-06-01,1770000,,
2023-06-02,1714000,,
2023-06-03,1714000,,
2023-06-04,1714000,,
2023-06-05,1710000,,
2023-06-06,1670000,,
2023-06-07,1685000,,
2023-06-08,1710000,,
2023-06-09,1665000,,
2023-06-10,1665000,,
2023-06-11,1665000,,
2023-06-12,1620000,,
2023-06-13,1594000,,
2023-06-14,1605000,,
2023-06-15,1612000,,
2023-06-16,1595000,,
2023-06-17,1595000,,
2023-06-18,1595000,,
2023-06-19,1595000,,
2023-06-20,1543000,,
2023-06-21,1503000,,
2023-06-22,1470000,,
2023-06-23,1438000,,
2023-06-24,1438000,,
2023-06-25,1438000,,
2023-06-26,1439000,,
2023-06-27,1445000,,
2023-06-28,1380000,,
2023-06-29,1390000,,
2023-06-30,1360000,,
2023-07-01,1360000,,
2023-07-02,1360000,,
2023-07-03,1375000,,
2023-07-04,1375000,,
2023-07-05,1345000,,
2023-07-06,1390000,,
2023-07-07,1365000,,
2023-07-08,1365000,,
2023-07-09,1365000,,
2023-07-10,1355000,,
2023-07-11,1343000,,
2023-07-12,1328000,,
2023-07-13,1310000,,
2023-07-14,1322000,,
2023-07-15,1322000,,
2023-07-16,1322000,,
2023-07-17,1270000,,
2023-07-18,1271000,,
2023-07-19,1257000,,
2023-07-20,1278000,,
2023-07-21,1302000,,
2023-07-22,1302000,,
2023-07-23,1302000,,
2023-07-24,1308000,,
2023-07-25,1305000,,
2023-07-26,1310000,,
2023-07-27,1295000,,
